total_movement,avg_speed,n_events,mean_dt,idle_ratio,turn_angle_mean,speed_std,speed_max,dist_std,efficiency_sub,turn_angle_std,vh_ratio,dir_change_rate,xy_corr,accel_cv,step_autocorr,userId,gameId,source_file,session_date,match_id,participant,is_bot,bot_type
174260.07498367596,1.7363776207657553,12360,14.529088113925075,0.00825242718446602,0.24584891949407775,2.000633320805253,17.066048165876012,15.74321774385992,0.6558416746682809,0.39427474248228,0.8131813515407303,0.0348705501618123,-0.5596463076937045,2.1819026526600207,0.9653612715476072,lol_2,07-03-2019_m3954172709_p2,lol-2-keylogger-new.txt,07-03-2019,3954172709,2,0,human
213331.9360385333,1.928505848149998,13679,13.15550519081737,0.009138094889977338,0.22496181493005646,2.163501025527334,15.64648522831885,17.101911685911734,0.7004963208317451,0.3698741411042889,0.9217342342342343,0.029461217925286935,-0.5516290918425343,2.8339231368845583,0.972152167611968,lol_2,07-03-2019_m3954173323_p2,lol-2-keylogger-new.txt,07-03-2019,3954173323,2,0,human
283084.78201679024,3.0605805679042293,88672,2.041744307594419,0.01944243955250812,0.3599781493063229,4.26073335845897,489.71930735881756,5.487597847509954,0.8937351011854217,0.5088486796097355,0.6231561304899391,0.011367737278960665,-0.4637070854358277,7.35618565888489,0.44779079742016137,lol_3,07-03-2019_m3954172709_p3,lol-3-keylogger-new.txt,07-03-2019,3954172709,3,0,human
238992.7943853172,2.826035198556531,80459,2.2469324194173788,0.04185982922979406,0.39284516417997967,4.080024283028613,432.33898736986464,4.746998368137653,0.8866257350686776,0.5407244847929918,0.6305195740578634,0.010278526951615108,-0.18972026169364148,7.099621012649201,0.5335602844344296,lol_3,07-03-2019_m3954173323_p3,lol-3-keylogger-new.txt,07-03-2019,3954173323,3,0,human
145514.60806025262,1.8982412519385676,66133,2.7560874758798124,0.0733370631908427,0.48449944357203545,2.405675185405632,197.46420210030757,6.87313557990277,0.8836137020333409,0.6705212478332893,0.6531205606591534,0.010977877912691092,0.7900559019546349,1.6890305232271894,0.21119309452517,lol_4,07-03-2019_m3954172709_p4,lol-4-keylogger-new.txt,07-03-2019,3954172709,4,0,human
122127.76272575506,1.8910844189301208,55631,3.229249229414355,0.06570077834301019,0.5129005106549748,2.3642712876457375,42.5205832509386,2.380016723153268,0.8815508891162394,0.6808309288868919,0.7086075713018718,0.013985008358648954,-0.08850500925826249,1.7796110020727194,0.8324628179287347,lol_4,07-03-2019_m3954173323_p4,lol-4-keylogger-new.txt,07-03-2019,3954173323,4,0,human
317325.98443483165,3.0917451472479236,98615,1.8388042623185297,0.006641991583430513,0.34917226896048276,2.914141803508565,109.59014554237986,3.008869850793137,0.9009610461666099,0.4762711226234879,0.9429852844917452,0.008862749074684378,-0.5107626389280139,1.8476126937713322,0.8673942735306838,lol_5,07-03-2019_m3954172709_p5,lol-5-keylogger-new.txt,07-03-2019,3954172709,5,0,human
317020.1978168343,3.316547263362642,92474,1.9595884818463882,0.006801911888747107,0.3461352652445494,3.1609667252616984,84.38009243891595,3.265390570753789,0.900557068751946,0.48698598741292864,0.7895895229936387,0.009072820468455998,-0.3907584444167042,1.765263715537232,0.9114888450089758,lol_5,07-03-2019_m3954173323_p5,lol-5-keylogger-new.txt,07-03-2019,3954173323,5,0,human
184745.82287889367,2.5340489697244943,33537,5.370319539338246,0.004651578853206906,0.450887622247435,3.3542278207281746,383.94563417233957,6.299763630992806,0.830405656096806,0.5329906064680766,0.7095783777078262,0.010764230551331366,-0.2929912720142847,3.8629195116721298,0.6425900410336349,lol_1,09-02-2019_m3924004880_p1,lol-1-keylogger-new.txt,09-02-2019,3924004880,1,0,human
270228.3718691432,3.122184887385358,82614,2.19365532034173,0.052727140678335394,0.3656284698849086,5.236935848230724,491.4977110831748,6.198756676255951,0.8937885795642185,0.5259115087119065,0.6485465102011769,0.00994988742828092,0.48001692865408463,9.640254017155467,0.34866768005343685,lol_3,09-02-2019_m3924004880_p3,lol-3-keylogger-new.txt,09-02-2019,3924004880,3,0,human
227363.0186945207,2.4612382879553008,82650,2.220147826408855,0.09716878402903811,0.5291942065802668,7.397779520813069,1363.4562699258088,11.104852496983618,0.876121441335429,0.7245700207246915,0.745349012135192,0.015378100423472475,0.6990387817837136,12.46182785646134,0.037404863883839956,lol_4,09-02-2019_m3924004880_p4,lol-4-keylogger-new.txt,09-02-2019,3924004880,4,0,human
211430.27738403756,2.2888419647107487,84797,2.1593914232919778,0.10579383704612191,0.5279352037862771,2.6303758710219256,29.154759474226502,2.6011799613682767,0.8747389823934298,0.7379812953353595,0.6811622928724332,0.01392737950635046,0.07603652042593921,1.5550109628273479,0.876194001417846,lol_4,09-02-2019_m3924194400_p4,lol-4-keylogger-new.txt,09-02-2019,3924194400,4,0,human
254349.691335553,2.946081525488108,82276,2.2021729555131406,0.01283484855851038,0.3442995685693202,4.035465672299834,559.9243252440458,6.956984486953138,0.8852237079539708,0.4942089318615423,0.6748085046236144,0.01076863240799261,0.5124960140038424,5.2485652347175025,0.3154620973185511,lol_5,09-02-2019_m3924004880_p5,lol-5-keylogger-new.txt,09-02-2019,3924004880,5,0,human
