total_movement,avg_speed,n_events,mean_dt,idle_ratio,turn_angle_mean,speed_std,speed_max,dist_std,efficiency_sub,turn_angle_std,vh_ratio,dir_change_rate,xy_corr,accel_cv,step_autocorr,userId,gameId,source_file,is_bot,bot_type
71773.24974473222,0.797765212515175,3230,54.583823985125505,0.0,0.3375784039184731,1.262373032035112,13.191807352021248,35.67796499410887,0.6756577951341189,0.5635382659727798,0.24091634444239857,0.06160990712074303,0.2014389624588896,1.9900566857660313,0.7824188264210358,3,0,game-20130217-213933.json,0,human
160310.51457546774,1.2863854192160333,7897,22.682457251424953,0.0,0.3141471516211584,1.9581021529401086,19.08730624041986,32.417493167069594,0.6254090524264085,0.5807740706928489,0.17368006721221463,0.0588831201722173,0.18619338655056888,2.0110053784735613,0.8113450889038796,3,1,game-20130217-214413.json,0,human
137508.0349615924,1.2136452310618375,7250,24.74151255865305,0.0,0.3355709215318205,2.0804710373058724,22.501020385025807,32.51852860903426,0.6120458285679121,0.5648097681650637,0.21929548671174712,0.05862068965517241,0.06903848004995626,2.071457367475357,0.8471105830828252,3,2,game-20130217-215035.json,0,human
93741.110485123,0.853312041111809,6031,29.665892501658924,0.0,0.38905453665507544,1.6457266865296627,21.270302801088658,29.409588636167808,0.6439935871352969,0.6069822347441218,0.23768370513496107,0.06997181230310065,0.08279567780967934,2.260249947718109,0.8003632260725326,3,3,game-20130217-215534.json,0,human
112022.65820052932,1.0762583777621997,6263,28.570196454240538,0.0,0.3701491176029715,2.114069257753902,25.791040649376246,35.31124471245909,0.6572218414997646,0.5932502503701325,0.2615719964097961,0.06578317100431104,0.3061948975996625,2.257213610050042,0.8002589979727819,3,4,game-20130217-220153.json,0,human
93584.09101476755,0.8219313769449275,7122,25.206378196122508,0.0,0.35105716708035895,1.5209156969932662,19.704448891619602,23.682918268026626,0.6640347506114335,0.5552450879555553,0.2850868725868726,0.05377702892445942,0.24768072867980953,2.205969832618212,0.8418651546268058,3,5,game-20130217-220614.json,0,human
76327.27515116578,0.7394185893263285,5618,31.479344729344728,0.0,0.34116966954774297,1.1650851748834574,13.184389443580617,20.72738477345566,0.6571646039666059,0.5637259508884256,0.26819108651325374,0.05446778212887148,-0.023804775609848318,1.9681772487327458,0.8643907130836845,20,6,game-20130218-152308.json,0,human
83079.16731527043,0.7070359608525556,4898,36.697303921568626,0.0,0.3694571442045178,1.1708141300303545,11.41887144160928,28.23322479926059,0.6639585392058005,0.6123934106024789,0.2662271533472691,0.06819109840751326,0.03951686037152745,2.0470828313660205,0.830584374662413,20,7,game-20130218-152745.json,0,human
117746.64037790615,1.0631125612565073,7836,22.94993614303959,0.0,0.29259938092414256,1.6503471857426382,23.318557031703666,24.123902084644573,0.7124731347712538,0.5059052323159224,0.44499547737126105,0.044793261868300155,0.04308160560898588,2.1889183645417263,0.8823586289563191,20,8,game-20130218-153304.json,0,human
102623.58295872703,0.8602975004384623,8303,21.604746416094446,0.0,0.29922438645164673,1.4324340586837023,15.243196173565398,20.535481781993564,0.7153599597058509,0.53498261058616,0.19430603488969778,0.04408045284836806,-0.08425234638249439,2.0568415381686718,0.8810727002087881,20,9,game-20130218-153719.json,0,human
106722.34381748026,0.8336789732066604,5411,33.22285925651933,0.0,0.33024874113034036,1.36296761969528,16.548172524145645,32.72382581318275,0.6618423636439897,0.5639376794499462,0.22689820237307123,0.06228053964147108,-0.14281630691877212,1.9684548672258244,0.8507172629918134,20,10,game-20130218-154408.json,0,human
